n_profiles,model_1,model_2,model_3,model_4,model_5
2,22720.718,22377.132,did not converge,did not converge,did not converge
3,22554.01,21707.458,did not converge,did not converge,did not converge
4,21709.001,21505.008,did not converge,did not converge,did not converge
5,21696.726,18561.022,did not converge,did not converge,did not converge
6,did not converge,21089.947,did not converge,did not converge,did not converge
7,21197.108,17130.496,did not converge,did not converge,did not converge
8,20857.06,16364.972,did not converge,did not converge,did not converge
9,did not converge,20444.102,did not converge,did not converge,did not converge
10,did not converge,20324.131,did not converge,did not converge,did not converge
11,did not converge,20353.783,did not converge,did not converge,did not converge
12,did not converge,20521.116,did not converge,did not converge,did not converge
13,did not converge,did not converge,did not converge,did not converge,did not converge
14,did not converge,did not converge,did not converge,did not converge,did not converge
15,did not converge,did not converge,did not converge,did not converge,did not converge
16,did not converge,did not converge,did not converge,did not converge,did not converge
17,did not converge,did not converge,did not converge,did not converge,did not converge
