participant_ID,program_ID,overall_engagement,overall_pre_interest
1001,1,3,4
1001,1,2.75,4
1001,1,2.75,4
1001,1,2.5,4
1001,1,3,4
1001,1,2.5,4
1001,1,2.75,4
1001,1,3.25,4
1001,1,3.75,4
1001,1,3,4
1002,1,3.5,3.6666666666666665
1002,1,3.75,3.6666666666666665
1002,1,3.5,3.6666666666666665
1002,1,3.5,3.6666666666666665
1002,1,3.75,3.6666666666666665
1002,1,3.75,3.6666666666666665
1002,1,3,3.6666666666666665
1002,1,2.75,3.6666666666666665
1002,1,4,3.6666666666666665
1002,1,4,3.6666666666666665
1002,1,3.5,3.6666666666666665
1002,1,3.25,3.6666666666666665
1002,1,4,3.6666666666666665
1002,1,4,3.6666666666666665
1002,1,4,3.6666666666666665
1002,1,4,3.6666666666666665
1002,1,4,3.6666666666666665
1002,1,3.25,3.6666666666666665
1002,1,3.5,3.6666666666666665
1002,1,3.75,3.6666666666666665
1002,1,4,3.6666666666666665
1002,1,3,3.6666666666666665
1003,1,2.5,3.6666666666666665
1003,1,2,3.6666666666666665
1003,1,3,3.6666666666666665
1003,1,3.25,3.6666666666666665
1003,1,2,3.6666666666666665
1003,1,2.25,3.6666666666666665
1003,1,2.5,3.6666666666666665
1003,1,3,3.6666666666666665
1003,1,2.25,3.6666666666666665
1003,1,3,3.6666666666666665
1003,1,2.75,3.6666666666666665
1003,1,2.75,3.6666666666666665
1003,1,2.75,3.6666666666666665
1003,1,2.5,3.6666666666666665
1003,1,2.75,3.6666666666666665
1003,1,3,3.6666666666666665
1004,1,3.5,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1004,1,4,1.3333333333333333
1005,1,3,3.3333333333333335
1005,1,3.25,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,2.5,3.3333333333333335
1005,1,2.5,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,2.75,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,2.75,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,2,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,2.75,3.3333333333333335
1005,1,2.75,3.3333333333333335
1005,1,3,3.3333333333333335
1005,1,2.75,3.3333333333333335
1006,1,2.25,3.6666666666666665
1006,1,2,3.6666666666666665
1006,1,2.25,3.6666666666666665
1006,1,2.75,3.6666666666666665
1007,1,2,3.3333333333333335
1007,1,2.5,3.3333333333333335
1007,1,2.25,3.3333333333333335
1007,1,2,3.3333333333333335
1007,1,2.25,3.3333333333333335
1007,1,1.75,3.3333333333333335
1007,1,2.5,3.3333333333333335
1007,1,2.5,3.3333333333333335
1007,1,2.25,3.3333333333333335
1007,1,2.5,3.3333333333333335
1007,1,2,3.3333333333333335
1007,1,2.25,3.3333333333333335
1007,1,2,3.3333333333333335
1007,1,2.5,3.3333333333333335
1007,1,2.25,3.3333333333333335
1007,1,2.25,3.3333333333333335
1007,1,2,3.3333333333333335
1007,1,2.25,3.3333333333333335
1007,1,1,3.3333333333333335
1007,1,2,3.3333333333333335
1007,1,2,3.3333333333333335
1007,1,2.25,3.3333333333333335
1007,1,2,3.3333333333333335
1008,1,1.75,4
1008,1,2.5,4
1008,1,2.5,4
1008,1,2.25,4
1008,1,2.5,4
1008,1,1.75,4
1008,1,1.5,4
1008,1,1.25,4
1008,1,2.5,4
1008,1,3.25,4
1008,1,1.25,4
1008,1,2,4
1008,1,2.75,4
1008,1,1.75,4
1008,1,1,4
1008,1,2.5,4
1009,1,3,4
1009,1,2,4
1009,1,3.5,4
1009,1,3.25,4
1009,1,2.25,4
1009,1,2.25,4
1009,1,2.25,4
1009,1,2.25,4
1009,1,2.25,4
1009,1,2.25,4
1009,1,2.25,4
1010,1,3.25,3
1010,1,4,3
1010,1,2.5,3
1010,1,2.75,3
1010,1,3,3
1010,1,3.25,3
1010,1,3,3
1010,1,3.25,3
1010,1,3.25,3
1010,1,3,3
1010,1,2.75,3
1010,1,3,3
2012,2,2.5,1
2012,2,3.5,1
2012,2,1.75,1
2012,2,2,1
2012,2,1.75,1
2012,2,3.25,1
2012,2,2.25,1
2012,2,2.5,1
2012,2,3.75,1
2012,2,2.5,1
2012,2,2.25,1
2012,2,1.75,1
2012,2,2,1
2012,2,1.5,1
2012,2,2.25,1
2012,2,2.25,1
2012,2,1.75,1
2012,2,2.5,1
2012,2,2.75,1
2012,2,2.75,1
2013,2,2.25,1
2013,2,1.5,1
2013,2,1.75,1
2013,2,1,1
2013,2,2.5,1
2013,2,2,1
2013,2,1.5,1
2013,2,1.75,1
2013,2,1.5,1
2013,2,2.5,1
2013,2,1,1
2013,2,1.75,1
2014,2,2,1.6666666666666667
2014,2,2.5,1.6666666666666667
2014,2,2.5,1.6666666666666667
2014,2,3.75,1.6666666666666667
2014,2,1.75,1.6666666666666667
2014,2,3,1.6666666666666667
2014,2,2.75,1.6666666666666667
2014,2,3,1.6666666666666667
2014,2,3,1.6666666666666667
2014,2,3,1.6666666666666667
2014,2,2.5,1.6666666666666667
2014,2,3.25,1.6666666666666667
2014,2,3,1.6666666666666667
2014,2,2.75,1.6666666666666667
2014,2,3,1.6666666666666667
2014,2,3.25,1.6666666666666667
2014,2,2.5,1.6666666666666667
2014,2,2.5,1.6666666666666667
2014,2,2.5,1.6666666666666667
2014,2,3,1.6666666666666667
2015,2,3.5,2
2015,2,3.25,2
2015,2,3.5,2
2015,2,3.25,2
2015,2,4,2
2015,2,3,2
2015,2,3.5,2
2015,2,3.5,2
2015,2,3,2
2015,2,3,2
2015,2,3.25,2
2015,2,4,2
2015,2,3.5,2
2015,2,3.75,2
2015,2,3.75,2
2015,2,3,2
2018,2,1.75,3
2018,2,2,3
2018,2,2,3
2018,2,2,3
2018,2,1,3
2018,2,2.5,3
2018,2,2,3
2018,2,2,3
2018,2,2.5,3
2018,2,2,3
2018,2,2,3
2018,2,2,3
2018,2,2.5,3
2018,2,2,3
2018,2,2,3
2018,2,2,3
2018,2,2.25,3
2018,2,2,3
2018,2,1.25,3
2018,2,1.75,3
2018,2,1.75,3
2018,2,2.25,3
2018,2,1.5,3
2018,2,2,3
2019,2,2,2.3333333333333335
2019,2,3,2.3333333333333335
2019,2,2.25,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2.25,2.3333333333333335
2019,2,1.75,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2019,2,2,2.3333333333333335
2020,2,2.25,1
2020,2,2.5,1
2020,2,1.75,1
2020,2,2,1
2020,2,2.25,1
2020,2,1.5,1
2020,2,2,1
2021,2,2,1
2021,2,2,1
2021,2,2.25,1
2021,2,3,1
2021,2,2.75,1
2021,2,2.25,1
2021,2,2.5,1
2021,2,2.5,1
2021,2,3,1
2021,2,2,1
2021,2,2.25,1
2021,2,2.5,1
2021,2,2.75,1
2021,2,2.25,1
2021,2,2.25,1
2021,2,1.75,1
