program_name,location,total_seconds,total_minutes,total_hours,total_minutes_p
Providence - Down City Design,Classroom Space,1263.9,21.065,0.35108333333333336,0.2833411796354832
Providence - Biomes,Classroom Space,1635.9,27.265,0.4544166666666667,0.4189351839995903
Providence -  RWP Zoo,Classroom Space,1971.7,32.861666666666665,0.5476944444444444,0.44332771219786393
Providence - Explore the Bay,Classroom Space,3036.9,50.615,0.8435833333333334,0.5148247978436657
Boston - Thompson Island,Classroom Space,2422.3,40.37166666666667,0.6728611111111111,0.5985569201116905
Providence - Crazy Machines,Classroom Space,3181.3,53.02166666666667,0.8836944444444444,0.6205840469734507
Boston - Dorchester House,Classroom Space,2354.6,39.24333333333333,0.6540555555555555,0.71407775823376
Boston - Mathpower,Classroom Space,4825.5,80.425,1.3404166666666666,1
Boston - Sociedad Latina,Classroom Space,8532,142.2,2.3699999999999997,1
Providence -  RWP Zoo,Indoors - Community,345.3,5.755,0.09591666666666666,0.07763912310286677
Providence - Explore the Bay,Indoors - Community,501.5,8.358333333333333,0.13930555555555554,0.08501585041278882
Providence - Crazy Machines,Indoors - Community,583.8,9.729999999999999,0.16216666666666665,0.11388330764879151
Providence - Biomes,Indoors - Community,862.2,14.370000000000001,0.23950000000000002,0.22079950831007197
Providence - Down City Design,Indoors - Community,1743,29.05,0.4841666666666667,0.3907458470643621
Providence - Crazy Machines,Indoors - Program,0.4,0.006666666666666667,1.1111111111111112e-4,7.802898776895617e-5
Providence - Explore the Bay,Indoors - Program,275.9,4.598333333333333,0.07663888888888888,0.046771431961891194
Providence - Down City Design,Indoors - Program,230.7,3.8449999999999998,0.06408333333333333,0.0517183401708252
Providence -  RWP Zoo,Indoors - Program,622.8,10.379999999999999,0.173,0.14003372681281617
Providence - Biomes,Indoors - Program,568.2,9.47,0.15783333333333335,0.14550948807908015
Boston - Dorchester House,Indoors - Program,942.8000000000001,15.713333333333335,0.2618888888888889,0.2859222417662401
Providence - Biomes,Outdoors - Community,378.3,6.305000000000001,0.10508333333333335,0.09687828113395991
Providence - Crazy Machines,Outdoors - Community,842.4,14.04,0.23399999999999999,0.16432904824142167
Providence - Explore the Bay,Outdoors - Community,1353.6,22.56,0.376,0.22946651070538573
Boston - Thompson Island,Outdoors - Community,1181.4,19.69,0.32816666666666666,0.2919271541179668
Providence -  RWP Zoo,Outdoors - Community,1428.7,23.811666666666667,0.3968611111111111,0.3212366498032603
Providence - Crazy Machines,Outdoors - Program,34.9,0.5816666666666667,0.009694444444444445,0.006808029182841425
Providence -  RWP Zoo,Outdoors - Program,79,1.3166666666666667,0.021944444444444444,0.017762788083192805
Providence - Explore the Bay,Outdoors - Program,231.4,3.856666666666667,0.06427777777777778,0.03922765261319908
Providence - Biomes,Outdoors - Program,272.6,4.543333333333334,0.07572222222222223,0.06980972624138904
Boston - Thompson Island,Outdoors - Program,443.2,7.386666666666667,0.12311111111111112,0.10951592577034272
Providence - Down City Design,Outdoors - Program,1089.8,18.163333333333334,0.3027222222222222,0.2443114309413321
Providence - Down City Design,Vehicle,133.3,2.2216666666666667,0.03702777777777778,0.0298832021879974
Providence - Biomes,Vehicle,187.7,3.128333333333333,0.05213888888888888,0.048067812235908725
Providence - Explore the Bay,Vehicle,499.6,8.326666666666666,0.13877777777777778,0.08469375646306938
Providence - Crazy Machines,Vehicle,483.5,8.058333333333334,0.13430555555555557,0.09431753896572577
